name,calories,protein,carbs,fat,category
Dal stuffed poori,785.16,2.08,10.14,81.69,General
Potato stuffed poori (Aloo ki poori),776.74,1.52,9.4,81.35,General
Tandoori parantha/paratha,295.37,5.08,30.74,16.51,General
Boiled rice (Uble chawal),117.19,2.6,25.72,0.18,General
Plain pulao,140.21,2.34,21.82,4.62,General
Mixed vegetable pulao,113.05,2.72,17.49,3.33,General
Mushroom pulao,124.29,2.52,19.02,4.03,General
Sprouted moong pulao,112.97,2.19,17.49,3.61,General
Paneer pulao,581.91,1.98,8.76,59.81,General
Peanut pulao ,193.28,5.32,21.18,9.51,General
Navratan pulao,261.71,6.2,36.98,9.45,General
Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),173.43,4.88,27.57,4.82,General
Mutton biryani/biriyani,190.76,7.38,22.5,7.72,General
Vegetable biryani/biriyani,174.61,3.16,18.56,9.51,General
"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",176.3,4.26,21.62,7.88,General
Sweet rice (Meethe chawal),215.41,2.1,42.59,4.57,General
Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),195.74,5.75,32.93,4.32,General
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,7.45,65.08,8.53,General
Spanish rice,164.24,4.19,31.1,2.23,General
Chinese fried rice,120.58,4.05,13.4,5.43,General
Macroni cheese pie,170.63,5.85,21.1,7.48,General
Vegetable chowmein,129.71,3.07,15.44,6.36,General
Chicken chowmein,151.33,6.33,13.3,8.23,General
Cheese noodle ring,133.67,6.22,13.96,6.12,General
Spaghetti and cheese balls in tomato sauce,508.32,2.41,7.82,52.08,General
Penne platter,177.4,5.04,20.87,8.71,General
Pasta hot pot,125.17,5.84,11.6,6.47,General
Chicken lasagne,187.49,10.45,13.9,10.36,General
Fettuccine with spinach sauce,129.21,3.1,12.19,7.83,General
Naan,286.45,8.05,51.75,4.99,General
Bhatura,793.2,1.63,10.73,82.56,General
Idli,137.54,4.64,28.18,0.33,General
Masala dosa,164.58,3.29,19.57,7.84,General
Semolina dosa (Suji/Rava dosa),227.05,7.3,32.84,7.12,General
Onion tomato uttapam,462.02,1.91,11.32,45.3,General
Paneer kaathi roll,285.94,6.92,20.1,19.55,General
Makki ki roti,263.97,3.49,24.19,16.85,General
Washed moong dal (Dhuli moong ki dal),50.0,2.68,5.91,1.68,General
Washed urad dal (Dhuli urad ki dal),61.32,2.51,5.84,2.98,General
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,2.79,7.1,3.6,General
Dry washed urad,124.71,6.85,15.66,3.5,General
Mixed dal,61.93,2.51,5.79,3.1,General
Whole moong (Moong ki dal),53.7,2.25,5.22,2.56,General
Whole masoor (Masoor ki dal),54.05,2.28,5.37,2.52,General
Whole moth (Moth ki dal),55.0,2.01,5.74,2.62,General
Whole urad (Urad ki dal),53.8,2.21,5.05,2.62,General
Moti mahal dal (Urad rajmah mix dal),103.13,3.93,8.74,5.66,General
Black channa curry/Bengal gram curry (Kale chane ki curry),140.68,5.67,14.11,6.61,General
Chickpeas curry (Safed channa curry),163.43,6.1,19.98,6.84,General
Lobia curry,148.99,6.06,17.88,5.62,General
Soyabean curry,163.28,10.43,6.76,10.19,General
Kidney bean curry (Rajmah curry),143.73,5.95,16.38,5.77,General
Sambar,96.92,3.35,10.57,4.38,General
Besan kadhi with pakodies,403.35,1.64,3.56,42.59,General
Khatta channa,202.57,6.3,21.14,10.56,General
Sprouted moong dal chat,32.47,1.35,6.01,0.32,General
Potato cauliflower (Aloo gobhi),106.18,1.9,5.99,8.13,General
Potato capsicum (Shimla mirch aloo),125.53,1.41,8.72,9.33,General
Cabbage and peas (Pattagobhi aur matar),63.88,3.24,6.24,2.64,General
Carrot and fenugreek leaves (Gajar methi),61.92,2.1,4.17,3.81,General
Potato fenugreek (Aloo methi),135.15,2.25,8.47,10.04,General
Brinjal bhartha (Baingan ka bhartha),65.12,1.38,4.4,4.48,General
Dry potato (Sookhe aloo),103.15,1.62,14.38,4.18,General
Beans with coconut (Nariyal aur sem/phali; Beans thoran),131.63,2.62,4.39,11.39,General
Cauliflower with coconut (Nariyal ke saath phoolgobhi),132.11,2.64,3.99,11.56,General
