name,calories,protein,carbs,fat,category
Hot chocolate,90.01,3.43,9.02,4.61,General
Cold coffee (with cream),82.76,1.93,11.98,3.29,General
Banana milkshake with ice cream (Kele ka milkshake ice cream ke saath),76.45,2.01,11.15,2.77,General
Flavoured milkshake,66.78,2.06,8.65,2.83,General
Jal jeera,30.24,0.44,6.7,0.26,General
Gingo,48.02,0.14,12.42,0.06,General
Mintade,40.32,0.03,10.59,0.02,General
Canjee,6.61,0.24,0.44,0.42,General
Cauliflower canjee (Phoolgobhi ki canjee),6.9,0.39,0.35,0.42,General
Potato canjee (Aloo canjee),16.26,0.44,2.69,0.39,General
Vermicelli porridge (Semiya/Seviyan porridge),78.4,2.5,10.56,2.98,General
Semolina upma (Suji/Rava upma),147.89,3.3,16.31,7.49,General
Vermicelli upma (Semiya/Seviyan upma),149.11,3.11,16.88,7.45,General
Rice upma,151.27,2.63,17.96,7.46,General
Bread upma,129.51,2.8,12.6,7.75,General
Vegetable upma,146.47,4.73,16.46,6.63,General
Poha,294.53,6.09,35.05,14.14,General
Vegetable poha,180.52,4.89,21.52,8.07,General
Moong dal stuffed cheela/chilla (Moong dal ka cheela/chilla),154.89,6.97,19.42,5.11,General
Paneer stuffed cheela/chilla,205.19,11.44,19.16,8.89,General
Indian style egg bhujia (Anda bhujia (Indian style)),102.83,6.1,3.76,7.02,General
French omelette/omlet,211.04,10.03,0.41,18.86,General
Puffy omelette/omlet,188.15,8.82,0.08,16.84,General
Orange omelette/omlet,194.66,8.93,1.68,16.84,General
Cheese and mushroom omelette/omlet,205.63,9.69,1.68,17.82,General
Spanish omelette/omlet,157.45,8.25,5.1,11.44,General
Mixed stock,25.19,2.06,0.33,1.71,General
Meat stock,24.48,2.1,0.0,1.78,General
White stock,6.99,0.07,0.4,0.56,General
Meat consomme (with mutton),29.76,14.86,0.51,13.68,General
Consomme au julienne,27.76,12.49,1.49,10.66,General
Consomme au vermicelli,29.94,15.23,1.3,12.98,General
Green pea soup (Matar ka soup),39.81,11.06,3.63,12.9,General
Spinach soup (Palak ka soup),32.59,10.54,3.03,14.26,General
Mixed vegetable soup,35.71,8.22,2.95,11.66,General
Cheese soup,41.13,12.39,1.87,17.07,General
Mulligatawny soup,54.42,11.26,8.24,13.28,General
Cream of carrot soup,59.77,8.27,5.69,12.35,General
Cream of broccoli soup,56.14,8.97,3.72,12.75,General
Cream of potato soup,60.2,8.1,6.14,12.05,General
Almond soup (Badam ka soup),78.65,10.13,3.68,13.8,General
Cold cucumber cream soup ,11.88,0.34,1.76,0.34,General
Cold tomato soup,16.9,0.11,0.59,1.56,General
Chicken stew,127.55,7.19,4.44,8.91,General
Veg paneer stew,145.55,6.98,10.22,8.41,General
Onion-green chilli parantha/paratha (Pyaaz aur hari mirch ka parantha/paratha),191.27,4.37,26.37,7.27,General
Methi parantha/paratha,148.36,4.27,22.19,4.34,General
Bathua poori,598.79,2.35,13.85,59.14,General
Gram flour poori (Besan poori),697.66,2.59,10.93,71.51,General
Beetroot poori (Chukandar ki poori),527.66,1.91,12.29,52.18,General
Peas poori (Matar ki poori),592.83,3.04,14.92,57.69,General
Peas kachori (Matar kachori),584.68,3.21,13.25,57.51,General
Pizza,146.77,6.85,9.94,8.72,General
Bacon and mushroom pancake,157.67,6.82,8.47,10.6,General
Cheese and tomato pancake,147.39,5.15,10.66,9.28,General
Minced meat pancake (with chicken),116.04,12.01,8.18,10.48,General
Eggplant/Brinjal rice (Vangi bhat),184.8,5.28,31.74,3.67,General
Kashmiri 'tahar',98.21,1.95,19.11,1.37,General
Cumin pulao (Jeera/Zeera pulao),135.24,2.47,23.61,3.2,General
Peas pulao (Matar pulao),108.87,3.89,18.42,1.9,General
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,3.6,19.72,2.3,General
Black channa pulao/ Bengal gram pulao (Kale chane ka pulao),125.51,3.44,21.55,2.58,General
Mutton pulao,130.77,6.52,11.26,10.78,General
Chicken pulao,108.24,6.07,11.17,8.48,General
Mexican rice,120.57,4.62,14.21,4.88,General
Plain khitchdi (Plain khichri/khichdi),57.03,1.72,10.04,1.01,General
Instant idli (with semolina),247.29,9.16,43.4,3.61,General
Plain dosa,380.91,10.34,64.08,8.43,General
Masala dosa mixed vegetable fillings,144.53,4.84,23.02,3.26,General
Masala dosa paneer fillings,243.12,10.31,29.76,8.84,General
Uttapam,255.95,6.18,36.28,9.03,General
Appam,267.7,3.12,13.28,22.63,General
Beans and macaroni,136.08,4.58,14.24,7.01,General
Spaghetti bolognese,97.43,9.35,10.04,9.51,General
Meat and macaroni casserole,161.55,9.15,16.12,10.17,General
Spaghetti with meat balls and tomato sauce,158.13,5.61,10.46,10.64,General
Spaghetti with paneer balls and tomato sauce,158.54,3.95,12.72,10.44,General
Lasagne with meat sauce,63.38,2.9,5.38,3.43,General
Lasagne with vegetables,49.23,1.71,5.9,2.16,General
Home made egg noodles,240.84,6.55,42.92,4.37,General
Sour lentils (Khatti dal),34.79,2.22,6.04,0.12,General
Urad special dehusked,69.43,3.14,8.86,2.17,General
Arhar with spinach (Arhar dal aur palak),52.84,2.05,4.77,2.76,General
Moong dal with vadi,24.08,0.4,1.0,2.05,General
Rasam with tamarind (Puli rasam/ Chintapandu rasam/ Charu/Saaru),26.74,1.13,3.37,0.88,General
Rasam with lemon (Nimmakaya rasam/Nimmakaya charu/Elumichai rasam/Nimbe hannina saaru),24.41,1.11,2.85,0.87,General
Green gram whole with baghar (Sabut moong dal with tadka),63.43,3.23,6.8,2.48,General
Urad sabut special,79.39,2.33,5.03,5.46,General
Kabuli channa curry,68.57,2.92,7.63,3.06,General
Besan gatte curry,189.38,7.75,16.26,10.72,General
Dry masala chops,135.07,9.08,3.3,9.54,General
Mutton korma,115.64,7.09,2.53,8.54,General
Shahi keema kofta curry,418.13,4.14,1.73,43.83,General
Minced meat ball curry,109.79,6.82,2.86,7.85,General
Boti kebab,132.86,9.22,3.06,9.27,General
Mutton seekh kebab,133.94,11.25,3.11,8.43,General
Indian lamb and egg curry (Nargisi kofta),335.75,3.84,2.07,34.7,General
Soya chunks sweet and sour (Nutrinugget sweet and sour),500.94,2.85,3.27,55.99,General
Soya chunks korma (Nutrinugget korma),131.43,3.86,7.67,9.5,General
Mushroom matar,70.77,2.79,5.33,4.11,General
Soya chunks and peas (Nutrinugget matar),82.62,3.03,5.82,5.11,General
Vegetable yakhni,406.06,1.18,1.94,43.8,General
Spinach mushroom (Palak mushroom),47.63,1.94,2.95,2.96,General
Vegetarian nargisi kofta curry,332.15,2.29,6.58,32.94,General
Roast chicken,199.9,20.49,0.1,13.06,General
Shahi chicken masala,163.7,9.82,4.07,12.02,General
Tomato chicken,111.68,10.57,2.13,6.71,General
Creamy chicken,152.87,13.52,3.13,9.57,General
Broccoli chicken ala king,119.56,7.97,5.34,7.57,General
Ginger chicken,129.17,8.24,5.6,8.24,General
Chicken sweet and sour,445.09,6.92,2.67,47.59,General
Chicken korma,147.96,9.83,5.43,9.67,General
Bengal fish curry (Bengali machli curry),109.43,7.26,4.42,7.03,General
Fish finger,542.9,5.66,4.47,55.82,General
Fish in coconut milk (Nariyal ke doodh ke saath machli),86.21,8.66,2.73,4.43,General
Prawn curry (with coconut) (Jhinga curry),109.55,8.54,3.1,6.93,General
Baked stuffed fish,121.96,16.14,2.12,5.43,General
Fish pie,120.9,9.25,7.74,5.77,General
Crispy baked fish,138.4,10.95,9.59,6.41,General
Fish souffle,139.71,10.51,5.14,8.55,General
Potato curry (Aloo ki sabzi),89.56,1.52,10.42,4.47,General
Egg curry (Anda curry),117.52,5.38,4.03,8.81,General
Vegetable curry with coconut ,83.07,2.77,7.19,4.66,General
Curd with potatoes (Dahi aloo),59.9,1.56,7.15,2.72,General
Potato kofta curry (Aloo kofta curry),455.4,0.56,2.78,49.08,General
Yam kofta curry (Zimikand/Suran kofta curry),322.88,0.71,3.75,33.84,General
Jackfruit kofta curry (Kathal ka kofta curry),321.08,0.8,3.17,33.83,General
Spinach and potato (Palak aloo),57.17,1.63,5.91,2.82,General
Mooli bhujia,91.2,1.69,4.74,7.25,General
Bathua bhujia,90.9,2.26,3.63,7.29,General
Cabbage rolls (dry) ((Pattagobhi rolls) (dry)),142.48,8.21,6.09,9.36,General
Cabbage rolls (curry) ((Pattagobhi rolls)(curry)),124.63,5.76,7.03,8.17,General
Dry arbi (Sookhi arbi),134.95,2.12,11.11,8.97,General
Masala arbi,185.38,3.01,16.16,11.9,General
Peas brinjal bhartha (Matar baingan bhartha),84.55,2.05,5.02,6.05,General
Okra/Lady's fingers fry (Bhindi sabzi/sabji/subji),110.81,1.83,4.5,9.27,General
Crispy okra/Crispy lady's fingers (Karare bhindi),657.76,1.91,4.35,70.4,General
Beans foogath,105.06,2.03,3.26,9.22,General
Stuffed bittergourd (wet) (Bharwa karele),162.36,1.36,4.68,15.24,General
Jackfruit/Kathal (dry),488.97,0.93,4.56,51.78,General
Yam fried (Zimikand/Suran fried),491.76,0.79,5.47,51.79,General
"Cauliflower, pea and potato bhujia (Phoolgobhi, matar aur aloo bhujia)",95.67,2.75,8.23,5.54,General
Vegetable jalfrezi,68.48,1.4,5.43,4.38,General
Vegetables stir fry ,30.78,1.04,3.19,1.47,General
Broccoli delight,40.7,2.49,2.34,2.48,General
Dhansak (vegetarian),82.8,3.32,7.28,4.18,General
Cauliflower basket,90.95,5.21,3.97,5.88,General
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,5.84,4.36,5.8,General
Ducheese potato,140.54,3.6,10.94,9.01,General
Roast potatoes ,87.32,1.53,14.52,2.35,General
Stuffed baked potatoes ,100.2,3.82,11.03,4.39,General
Potato nests,111.62,5.71,11.05,4.77,General
Parsley potato,119.51,1.49,13.81,6.28,General
Creamed spinach and mushroom,419.62,2.28,3.17,44.14,General
Fricassee of Mushroom,106.66,3.65,8.13,6.63,General
Cauliflower au gratin,145.9,4.45,9.13,10.2,General
Vegetable and cheese pie,126.88,4.03,8.76,8.28,General
Spinach souffle ,150.18,7.36,6.27,10.52,General
Beetroot and egg salad (Chukandar aur ande ka salad),84.92,3.36,3.4,6.45,General
Sour cream potato salad,121.9,2.89,9.05,8.13,General
Tossed green salad,49.88,1.33,3.82,3.24,General
Spring basket salad,160.46,3.36,11.61,11.3,General
Cucumber and yogurt salad (Kheere aur dahi ka salad),36.13,2.09,4.72,0.93,General
Chicken and tomato towers,100.55,6.9,2.36,6.99,General
Jellied sunshine fruit salad,48.86,5.85,4.21,0.85,General
Tomato aspic,50.37,6.87,5.02,0.26,General
Frozen frosty fruit salad (Phalon ka salaad),103.51,1.68,15.61,4.17,General
French dressing,733.77,0.32,3.68,79.65,General
Mayonnaise without eggs,329.05,2.13,3.98,33.84,General
Curd dressing ,78.8,5.59,8.03,2.9,General
Carrot raita (Gajar ka raita),64.78,4.14,7.19,2.19,General
Pumpkin raita (Kaddu ka raita),55.6,3.74,6.02,1.88,General
Mint and peanut raita (Pudinay aur moongfali ka raita),112.05,7.05,7.31,6.19,General
Spinach raita (Palak ka raita),52.75,3.95,5.06,1.86,General
Bathua raita,54.4,4.13,5.31,1.76,General
Pineapple raita (Ananas ka raita),67.74,3.9,8.62,2.02,General
Banana raita (Kele ka raita),89.03,4.13,13.51,2.07,General
Mango raita (Aam ka raita),67.37,3.9,8.23,2.14,General
Guava raita (Amarood ka raita),64.36,4.19,7.27,2.07,General
Grapes raita (Angoor ka raita),72.59,3.98,9.66,2.07,General
Bottle gourd kheer (Ghiya/Lauki kheer),84.07,2.7,10.0,3.86,General
Pumpkin kheer (Kaddu ki kheer),86.35,2.76,10.44,3.86,General
Apple kheer (Seb ki kheer),81.3,2.14,11.34,3.18,General
Caramel custard (baked),122.7,5.11,14.95,5.01,General
Vanilla ice cream without egg,228.67,2.69,14.21,18.15,General
Vanilla ice cream with egg,214.85,4.16,11.71,17.02,General
Strawberry ice cream,215.61,4.15,12.26,16.96,General
Chocochip ice cream,241.45,4.23,16.75,17.93,General
Choconut ice cream,273.96,5.04,23.13,18.49,General
Pear chocholate sunday,183.49,2.08,15.02,13.11,General
Chocolate sauce,263.2,1.91,43.21,10.39,General
Coffee ice cream,150.62,3.15,14.09,9.43,General
Coffee pear alaska,203.99,2.88,19.36,13.22,General
Crunchy butterscotch,277.32,3.11,19.92,20.99,General
Peach melba ice cream,200.85,2.06,16.31,14.51,General
Vanilla ice cream with apples in hot cherry sauce,196.32,1.73,22.75,11.45,General
Grape and orange whip,57.39,1.41,6.72,2.62,General
Honey banana cream,125.49,2.78,13.64,6.68,General
Raspberry bavarian cream,150.1,3.34,17.82,7.88,General
Fruit delight,107.09,2.09,9.11,7.09,General
Creamy chocolate mousse,230.52,6.85,9.53,18.16,General
Cold lemon souffle,169.87,5.89,15.62,9.78,General
Cold orange souffle,173.19,5.94,16.27,9.82,General
Cold pineapple souffle,181.22,6.23,16.85,10.39,General
Cold vanilla souffle,179.54,6.22,16.29,10.32,General
Cold chocolate souffle,187.53,6.37,17.22,10.86,General
Stewed fruit (with pear),74.32,0.25,18.22,0.32,General
Apricot fool,240.79,1.54,33.64,11.35,General
Pavlova,200.6,1.84,21.84,12.29,General
Apple crumb pudding,220.85,1.54,35.17,8.87,General
Steamed cake with chocolate sauce,301.91,4.49,29.06,19.01,General
Hot lemon souffle,155.25,5.29,16.31,7.93,General
Gulab jamun with milk powder,471.15,0.85,28.24,40.15,General
Chum chum,130.05,1.52,28.27,1.92,General
Dil bahar,130.05,1.52,28.27,1.92,General
Rasbhari,130.05,1.52,28.27,1.92,General
Rajbogh,133.7,1.71,28.16,2.28,General
Rasgulla,118.64,1.38,25.79,1.75,General
Rasmalai,135.55,1.61,29.17,2.11,General
Khoa coconut burfi,411.45,9.98,36.55,26.01,General
Danedar burfi,102.68,3.24,12.33,4.72,General
Semolina burfi (Suji/Rava burfi),348.67,3.47,47.1,16.86,General
Pumpkin coconut burfi (Kaddu aur nariyal ki burfi),186.18,1.75,17.02,12.66,General
Khoa ladoo,396.02,12.21,34.43,24.09,General
Wheat and gram flour ladoo (Atta besan ladoo),501.7,9.38,50.5,29.86,General
Semolina ladoo with nuts (Suji/Rava ladoo with nuts),441.84,5.44,48.02,25.45,General
Sesame chickpeas brittle (Til aur channe ki chikki),282.74,8.5,50.49,4.66,General
Murmura chikki,253.82,2.12,59.59,0.32,General
Masala onion pakora/pakoda (Pyaaz ke pakode),551.64,2.05,6.48,57.61,General
Masala green chilli pakora/pakoda (Hari mirch kay pakode),668.76,2.22,5.55,71.01,General
Chicken pakora/pakoda,590.09,6.03,4.55,60.98,General
Fish pakora/pakoda,577.03,5.97,4.55,59.52,General
Paneer cutlet,672.2,4.59,7.62,69.38,General
Sago cutlet/vadas (Sabudana cutlet/vadas),558.76,0.56,11.23,56.97,General
Poshtik cutlet,496.45,2.0,7.39,50.94,General
Egg cutlet (Anda cutlet),575.02,2.45,5.77,60.25,General
Minced meat cutlet,531.86,5.1,5.61,54.47,General
Vegetable samosa,443.11,2.21,13.22,42.22,General
Plain urad dal vada (Uzunne vada/Minapa garelu/Ulundu vadai/Medu vada),745.5,4.39,9.7,76.32,General
Masala urad dal vada,703.78,4.32,9.93,71.62,General
Khaman (dhokla),54.73,1.92,5.36,2.8,General
Instant dhokla,207.11,7.66,24.11,9.37,General
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,1.05,9.11,0.32,General
Mint tomato chutney (Pudinay aur tamatar ki chutney),43.65,1.53,8.22,0.36,General
Coriander chutney (Hare dhaniye ki chutney),42.86,1.38,8.16,0.37,General
Gooseberry chutney (Amla chutney),43.02,1.44,8.83,0.62,General
Walnut chutney (Akhrot ki chutney),370.43,9.44,8.91,33.46,General
Saunth/Sonth chutney with ginger,84.22,0.28,20.62,0.11,General
Gun powder chutney,312.34,21.55,47.65,2.67,General
Dessicated coconut chutney (Sookhe kase nariyal ki chutney) ,346.36,12.88,36.72,15.88,General
Curd mint dip ,76.13,4.82,9.11,2.44,General
Curd vegetable dip,56.21,3.88,6.04,1.94,General
Mayonnaise vegetable dip,241.27,3.01,4.8,23.44,General
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,4.03,20.51,6.31,General
Tomato sandwich (grilled),189.92,6.26,21.29,9.39,General
French sandwich (toasted),186.75,6.82,14.82,11.51,General
Peanut butter cucumber sandwich,243.33,9.04,29.76,10.56,General
Mint and peanut sandwich,273.59,7.18,31.83,13.88,General
Spicy chutney sandwich,249.58,8.74,34.03,9.58,General
Chicken walnut sandwich (Chicken aur akhrot ke sandwich),285.78,12.58,22.62,16.77,General
Rolled sandwich,293.07,6.45,34.69,15.29,General
Ribbon sandwich,239.26,6.26,24.76,13.37,General
Checker board sandwich,348.37,7.37,25.94,24.65,General
Submarine sandwich,216.92,6.09,13.6,15.32,General
Cheese open sandwich,274.07,9.84,28.42,14.24,General
Sunset and sunrise open sandwich,241.31,8.58,18.89,15.14,General
Danish luncheon sandwich,193.82,9.03,17.77,10.1,General
Chicken and corn open sandwich,188.16,8.63,19.21,8.83,General
Chocolate sponge cake,239.86,9.13,39.54,5.51,General
Chocolate swiss roll,306.08,6.01,26.97,19.76,General
Lemon curd filling,225.62,3.43,26.41,12.58,General
Jam filling,184.62,0.0,46.15,0.0,General
Chocolate pastry,243.37,7.05,32.24,10.12,General
Assorted pastry,230.74,6.78,31.99,8.91,General
Orange gateau,178.05,4.78,27.01,6.02,General
Black forest gateau,217.82,5.94,30.57,8.58,General
Lemon cake,373.85,5.29,43.1,20.63,General
Dundee cake,396.62,7.78,41.4,22.7,General
Victorian sandwich cake,373.09,5.18,44.74,19.83,General
Chocolate eggless cake,312.01,6.66,43.45,13.19,General
Orange eggless cake,355.62,7.16,52.65,13.82,General
Chocolate glace icing,436.29,3.22,62.43,20.8,General
Butter icing,500.72,0.19,71.64,25.37,General
Chocolate butter icing,469.59,3.21,61.72,24.77,General
Almond biscuit (Badam ke biscuit),407.74,6.25,52.14,19.7,General
Orange biscuit,354.78,3.63,62.11,11.01,General
Gingerman biscuit,357.43,6.26,55.24,12.73,General
Coffee drops,443.07,7.57,43.06,27.16,General
Christmas biscuit,406.07,5.67,60.97,15.88,General
Christmas wreath biscuit,386.05,5.43,58.07,15.01,General
Christmas bell biscuit,404.85,5.66,60.79,15.84,General
Christmas star biscuit,392.03,3.54,74.54,10.04,General
Christmas tree biscuit,385.63,5.43,58.41,15.0,General
Chocolate cream shells,427.17,5.1,59.26,19.34,General
Jelly biscuit,404.61,4.23,55.24,19.33,General
Cherry and walnut cookies,422.6,5.63,59.35,18.75,General
Cheese straws,382.0,9.83,30.61,24.28,General
Butterfly biscuit,341.45,9.98,25.33,22.11,General
Flan pastry,445.8,6.72,47.84,25.04,General
Fruit flan,261.35,3.3,34.71,12.48,General
Orange cream flan,280.28,4.73,36.16,13.59,General
Fruit puree tart,286.5,3.35,30.42,16.83,General
Apple banana pie,243.99,3.13,32.12,11.39,General
Lemon chiffon pie,259.31,4.88,27.63,14.52,General
Orange chiffon pie,207.57,3.89,23.14,11.16,General
Cream buns,215.74,4.45,14.16,15.81,General
Savoury puffs,190.79,9.51,10.8,15.24,General
Choux swans,216.34,4.35,14.92,15.6,General
Potato aigrettes,530.03,2.35,8.01,54.24,General
Cream horns,408.23,3.42,23.12,33.55,General
Savoury cheese horns,295.15,5.66,21.38,20.71,General
Paneer patties,338.58,7.6,22.79,23.96,General
Vegetable patties ,261.92,4.01,20.98,17.74,General
Pearl millet infant food (Bajra shishu aahaar),362.44,11.98,62.1,6.62,General
Sajina,345.26,10.81,66.87,3.03,General
Cereal mix ,120.81,3.32,21.84,2.02,General
Pulse mix,83.29,3.16,16.0,0.54,General
Shishu ahar,93.37,2.61,17.42,1.43,General
Cereal pulse mix with amylase rice flour,151.57,4.27,27.8,2.74,General
Banana groundnut paste/puree,213.19,4.27,36.15,5.45,General
Rice dal porridge (Chawal dal ki khichdi/khichri),383.33,10.8,65.04,8.33,General
Lentils and semolina porridge (Dal suji porridge/daliya),117.29,3.26,23.19,1.06,General
Spinach khichri (Palak khichri/khichdi),102.18,3.43,17.35,1.91,General
Vegetable mix,174.21,4.7,36.02,0.94,General
Lentils and wheat porridge (Dal wheat porridge/daliya ),52.54,2.71,8.36,0.94,General
Maize porridge,89.57,2.14,15.64,1.89,General
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,3.36,13.59,4.39,General
Split bengal gram burfi/fudge (Channa dal burfi),287.36,4.65,54.63,7.09,General
Chickpea flour cookies (Sweet besan rounds/cookies),207.01,4.29,39.64,3.42,General
Pearl millet mathri (Bajra mathri),785.08,1.82,7.42,83.12,General
Sesame biscuit (Til ke biscuit),424.03,8.27,53.65,19.34,General
Fermented bengal gram vada (Khameerikrit/Ufna hua channa dal ka vada),657.57,4.05,8.68,67.19,General
Poshtik namak paras,613.39,6.49,19.52,56.58,General
Soya chikki,423.7,7.18,62.89,15.51,General
Besan bathua chilla/cheela,373.82,11.48,40.65,18.57,General
Wheat flour and nuts ladoos (Atta nuts ladoos),391.9,9.46,44.31,19.19,General
Gram flour and semolina dhokla (Besan suji dhokla),198.91,8.52,25.92,7.1,General
Atta dal burfi ,298.8,6.66,40.64,12.47,General
Soya roti,283.96,9.18,40.03,9.23,General
Poshtik khichdi/khichri,93.37,3.04,15.64,1.88,General
Namkeen daliya,295.11,8.29,49.32,7.99,General
Sprouts upma ,316.25,9.5,44.96,10.44,General
Semolina idli (Suji/Rava idli),206.39,9.34,33.67,3.47,General
Poshtik chilla/cheela,159.53,4.85,27.47,3.04,General
Stuffed bittergourd (dry) (Bharwa karela),217.65,1.29,2.49,22.38,General
Cauliflower potato canjee,16.79,0.57,2.63,0.39,General
Creamed spinach,96.91,5.18,4.44,6.39,General
Mango milkshake with ice cream (Aam milkshake ice cream ke saath),68.35,1.93,9.18,2.8,General
Pineapple milkshake with ice cream (Ananas milkshake ice cream ke saath),68.49,1.93,9.33,2.75,General
Orange milkshake with ice cream (Narangi milkshake ice cream ke saath),67.82,1.95,9.15,2.75,General
Woodapple juice (Bel ka sharbat),34.18,0.63,6.51,0.7,General
Sattu drink,23.38,0.56,5.16,0.14,General
Apple and honey sorbet (Seb aur shehad ka sharbat),121.3,0.15,30.74,0.29,General
Thandai,101.18,3.59,9.13,5.89,General
Cucumber sharbat (Kheere ka sharbat),27.28,0.26,6.64,0.06,General
Apple oats chia seed smoothie,85.64,3.49,13.07,2.48,General
Nannari sharbat,88.79,0.01,23.62,0.01,General
Semolina milk drink (Thari kanji),44.16,0.98,6.93,1.36,General
Saffron milk (Kesariya doodh),102.18,3.17,12.64,4.57,General
Black rice kheer (Chak-hao kheer),147.94,4.37,22.93,4.91,General
Coconut kheer (Nariyal ki kheer),162.61,3.4,14.42,10.55,General
Apple sago payasam (Seb aur sabudana ki kheer),136.5,3.13,14.4,7.66,General
Kesari bath,244.57,2.4,31.38,12.59,General
Putharekulu,318.3,3.66,59.61,7.55,General
Mango malpua,334.64,1.65,12.84,30.67,General
Mango vanilla custard,147.63,3.43,18.41,7.04,General
Kiwi granola pudding,280.99,5.6,32.33,15.36,General
Oats burfi,425.19,8.89,62.47,17.27,General
Lotus seed halwa (Kamal gattay ka halwa),370.55,7.79,39.56,20.69,General
Amaranth ladoo (Rajgira ladoo),454.15,10.12,51.33,22.7,General
Chhena poda,344.57,13.68,33.64,17.94,General
Sweet couscous dessert,196.2,3.81,29.69,7.69,General
Sweetened yogurt (Shrikhand),107.18,5.27,16.02,2.89,General
Thickened sweetened milk (Rabri),102.79,3.52,10.55,5.35,General
Gram flour halwa (Besan halwa),276.79,5.88,25.78,17.3,General
Prawn sandwich,169.65,10.36,11.89,9.27,General
Watercress sandwich,229.42,5.17,28.03,11.47,General
Fish sandwich ,150.2,4.72,10.09,10.37,General
Kidney bean sandwich with cottage cheese,176.64,9.85,18.86,6.84,General
Finger millet biscuit (Ragi biscuit),458.56,4.03,52.69,25.79,General
Buttermilk biscuit,322.54,5.76,34.93,17.5,General
Lemon cookies,394.48,5.63,42.19,23.02,General
Sweet potato biscuit (Shakarkand ke biscuit),296.4,5.14,38.13,13.31,General
Raspberry shortbread cookies,441.12,3.0,61.25,21.25,General
Pumpkin cookies ,218.4,2.51,44.69,3.93,General
Greenpea cookies,159.42,6.53,23.07,4.24,General
Sunflower cookies,520.62,9.49,40.06,36.28,General
Cardamom cookies (Elaichi cookies),400.49,5.1,53.99,19.12,General
Hazelnut cookies,493.32,6.25,39.44,34.97,General
Milk cookies,459.43,10.49,48.43,24.96,General
Cranberry cookies,272.48,3.92,36.39,12.66,General
Olive biscuit,438.29,3.2,55.01,23.75,General
Tutti fruitti biscuit,420.78,5.21,53.12,17.9,General
Peach blueberry preserves,177.38,0.53,45.76,0.2,General
Pear preserves (Naashpati ka murabba),101.24,0.25,25.67,0.19,General
Starfruit preserves ,128.93,0.24,33.62,0.12,General
Gooseberry pickle (Amla ka achaar),278.58,1.55,7.61,27.61,General
Lotus stem pickle (Kamal kakdi ka achar),102.69,1.44,20.07,1.6,General
Date pickle (Khajoor ka achaar),182.29,1.68,34.66,4.21,General
Garlic pickle (Lahasun ka achar),413.62,3.72,9.75,39.88,General
Fermented bamboo shoot pickle (Mesu pickle),59.83,1.58,1.73,5.59,General
Sweet peach pickle (Aadoo ka achaar),144.64,0.46,37.01,0.2,General
Pickled mustard greens ,13.12,1.51,1.05,0.22,General
Small onion pickle ,16.86,1.65,2.76,0.64,General
Green tomato pickle (Haray tamatar ka achaar),193.26,1.23,2.87,19.67,General
Pickled cabbage ,13.69,0.39,2.56,0.14,General
Coconut pickle (Nariyal ka aachar),517.26,3.02,11.53,51.71,General
Potato pickle (Aloo ka achaar),369.14,2.07,7.87,36.46,General
Mango murabba candy,293.35,0.27,77.32,0.05,General
Afghani chicken,151.51,15.66,1.95,9.07,General
Fish orly,563.7,5.87,4.27,58.18,General
Hariyali Fish Tikka,150.24,14.01,2.21,9.41,General
Chicken manchurian,142.34,9.53,6.06,11.96,General
Handi chicken,166.02,12.32,1.49,12.46,General
Lemon chicken,169.79,20.2,0.55,9.66,General
Lemon butter fish,160.25,16.38,0.75,10.26,General
Baked eggs in tomato sauce,80.05,4.92,3.78,5.22,General
Egg in a pepper,128.78,12.64,0.17,8.68,General
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,13.28,0.59,11.51,General
Corn omelette/omlet,166.93,11.37,1.57,12.89,General
Cajun chicken,184.94,12.69,1.94,13.99,General
Paaner do pyaza,127.7,4.22,3.41,10.87,General
Cabbage manchurian (Pattagobhi manchurian),224.26,0.64,4.85,22.48,General
Gobi 65,278.29,0.56,3.59,29.11,General
Paneer lababdar,105.48,3.98,3.37,8.46,General
Roasted cauliflower steak,78.68,2.05,2.02,6.7,General
Sauteed radishes with green beans,94.32,2.41,6.04,6.61,General
Garlic chutney/Poondu chutney (Lahasun ki chutney),255.51,3.34,20.44,17.55,General
Schezwan chutney,205.19,3.33,10.79,17.72,General
Onion chutney (Pyaaz ki chutney/Vengaya chutney),143.94,2.97,13.52,8.38,General
Dates chutney (Khajoor ki chutney),103.57,1.07,21.69,1.12,General
Chicken salad,338.19,15.33,1.3,30.26,General
Macaroni salad,262.19,5.02,21.63,17.78,General
Cabbage raita (Pattagobhi raita),84.84,3.24,5.25,5.76,General
Pomegranate raita (Anaar ka raita),72.64,4.05,7.15,3.24,General
Onion raita (Pyaaz ka raita),71.56,4.86,7.86,2.43,General
Green chilli raita (Hari mirch ka raita),77.13,5.58,7.66,2.92,General
Kale salad,177.71,4.86,5.01,15.33,General
Spinach and paneer souffle ,186.19,7.56,9.64,13.49,General
Masala souffle ,123.51,6.38,8.02,7.37,General
Chicken and cheese souffle,182.35,9.07,3.47,14.74,General
